id	prot_name	trait	file
5724	SBSN	SBSN	5724_58_SBSN_SBSN.txt.gz
5060	CD274	B7_H1	5060_62_CD274_B7_H1.txt.gz
4547	FLRT1	FLRT1	4547_59_FLRT1_FLRT1.txt.gz
2706	SERPINA7	Thyroxine_Binding_Globulin	2706_69_SERPINA7_Thyroxine_Binding_Globulin.txt.gz
19488	PDCD6	PDCD6	19488_1_PDCD6_PDCD6.txt.gz
19228	BAG2	BAG_2	19228_11_BAG2_BAG_2.txt.gz
19227	BATF	BATF	19227_18_BATF_BATF.txt.gz
19225	BLNK	BLNK	19225_11_BLNK_BLNK.txt.gz
19224	EIF1AY	IF1AY	19224_5_EIF1AY_IF1AY.txt.gz
19223	RAB1A	RAB1A	19223_6_RAB1A_RAB1A.txt.gz
19222	RAB5B	RAB5B	19222_124_RAB5B_RAB5B.txt.gz
19219	NUTF2	NTF_2	19219_71_NUTF2_NTF_2.txt.gz
19215	NDRG1	NDRG1	19215_7_NDRG1_NDRG1.txt.gz
19213	SPINK4	ISK4	19213_1_SPINK4_ISK4.txt.gz
19212	DMBT1	DMBT1	19212_4_DMBT1_DMBT1.txt.gz
19209	NFKBIA	IKB_alpha	19209_6_NFKBIA_IKB_alpha.txt.gz
19208	ACVR2A	Activin_RIIA	19208_8_ACVR2A_Activin_RIIA.txt.gz
18830	ITLN1	Omentin	18830_1_ITLN1_Omentin.txt.gz
6256	LY6G6C	LY66C	6256_9_LY6G6C_LY66C.txt.gz
6255	CPXM1	CPXM1	6255_74_CPXM1_CPXM1.txt.gz
6252	SCGB3A1	Secretoglobin_family_3A_member_1	6252_62_SCGB3A1_Secretoglobin_family_3A_member_1.txt.gz
6245	PVRL2	Nectin_2	6245_4_PVRL2_Nectin_2.txt.gz
6231	STC2	STC2	6231_46_STC2_STC2.txt.gz
6227	KLK10	kallikrein_10	6227_1_KLK10_kallikrein_10.txt.gz
5649	PSG4	PSG4	5649_83_PSG4_PSG4.txt.gz
4960	ANXA1	annexin_I	4960_72_ANXA1_annexin_I.txt.gz
4956	EREG	EPI	4956_2_EREG_EPI.txt.gz
4923	AMH	MIS	4923_79_AMH_MIS.txt.gz
4922	CCL19	MIP_3b	4922_13_CCL19_MIP_3b.txt.gz
4920	LYZ	Lysozyme	4920_10_LYZ_Lysozyme.txt.gz
4913	CCL16	HCC_4	4913_78_CCL16_HCC_4.txt.gz
4912	GOT1	GOT1	4912_17_GOT1_GOT1.txt.gz
4911	GSTP1	Glutathione_S_transferase_Pi	4911_49_GSTP1_Glutathione_S_transferase_Pi.txt.gz
4910	PLA2G1B	GIB	4910_21_PLA2G1B_GIB.txt.gz
4909	LGALS8	Galectin_8	4909_68_LGALS8_Galectin_8.txt.gz
