id	trait	prot_name
A1CF.12423.38.3	Q9NQ94	A1CF
A4GALT.8759.29.3	Q9NPC4	A4GALT
AARS.12340.17.3	P49588	AARS
ABCC6.8935.22.3	O95255	ABCC6
ABHD12.7825.7.3	Q8N2K0	ABHD12
ABHD14A.5715.4.3	Q9BUJ0	ABHD14A
ABL1.3341.33.4	P00519	ABL1
ABL2.5261.13.3	P42684	ABL2
ABLIM3.13578.98.3	O94929	ABLIM3
ABO.9253.52.3	P16442	ABO
ACACB.12900.29.3	O00763	ACACB
ACAN.3280.49.2	P16112	ACAN
ACAP2.12343.14.3	Q15057	ACAP2
ACBD6.10075.75.3	Q9BR61	ACBD6
ACBD7.13563.259.3	Q8N6N7	ACBD7
ACE2.2805.6.2	Q9BYF1	ACE2
ACLY.12700.9.3	P53396	ACLY
ACP1.3858.5.1	P24666	ACP1
ACP2.9237.54.3	P11117	ACP2
ACP5.3232.28.2	P13686	ACP5
ACPL2.6079.59.3	Q8TE99	ACPL2
ACVR1B.2806.49.2	P36896	ACVR1B
ACVRL1.2969.11.1	P37023	ACVRL1
ACYP2.12812.25.3	P14621	ACYP2
ADAM11.6586.19.3	O75078	ADAM11
ADAM12.4420.7.2	O43184	ADAM12
ADAM19.8948.13.3	Q9H013	ADAM19
ADAM23.7049.2.3	O75077	ADAM23
ADAM29.13549.15.3	Q9UKF5	ADAM29
ADAM9.3795.6.2	Q13443	ADAM9
ADAMTS1.3174.2.1	Q9UHI8	ADAMTS1
ADAMTS13.3175.51.5	Q76LX8	ADAMTS13
ADAMTS15.4533.76.2	Q8TE58	ADAMTS15
ADAMTS3.8845.2.3	O15072	ADAMTS3
ADAMTS4.2809.25.2	O75173	ADAMTS4
ADAMTS5.3168.8.2	Q9UNA0	ADAMTS5
ADAMTS6.6441.62.3	Q9UKP5	ADAMTS6
ADAMTSL1.6575.79.3	Q8N6G6	ADAMTSL1
ADCK4.9794.17.3	Q96D53	ADCK4
ADCYAP1.4593.11.1	P18509	ADCYAP1
ADCYAP1.4594.22.2	P18509	ADCYAP1
ADCYAP1.8285.64.3	P18509	ADCYAP1
ADGRF1.11243.90.3	Q5T601	ADGRF1
ADGRF5.6409.57.3	Q8IZF2	ADGRF5
ADGRG5.4551.72.3	Q8IZF4	ADGRG5
ADH1B.9834.62.3	P00325	ADH1B
ADH4.8325.37.3	P08319	ADH4
ADM.14115.34.3	P35318	ADM
ADPGK.6221.1.3	Q9BRR6	ADPGK
ADRBK1.3347.9.2	P25098	ADRBK1
ADSS.12644.63.3	P30520	ADSS
ADSSL1.13998.26.3	Q8N142	ADSSL1
AFP.5792.8.2	P02771	AFP
AGER.4125.52.2	Q15109	AGER
AGFG1.11681.8.3	P52594	AGFG1
AGGF1.8051.10.3	Q8N302	AGGF1
AGO1.11651.24.3	Q9UL18	AGO1
AGR2.4959.2.1	O95994	AGR2
AGRP.2813.11.2	O00253	AGRP
AHSA1.11633.89.3	O95433	AHSA1
AHSG.3581.53.3	P02765	AHSG
AIF1.2849.49.1	P55008	AIF1
AIFM1.13424.51.3	O95831	AIFM1
AIFM1.9522.3.3	O95831	AIFM1
AIMP1.2714.78.2	Q12904	AIMP1
AK1.5012.67.1	P00568	AK1
AKR1A1.4192.10.2	P14550	AKR1A1
AKR1B1.9854.36.3	P15121	AKR1B1
AKR1C1.12618.50.3	Q04828	AKR1C1
AKT1.AKT2.AKT3.2867.52.2	"P31749	AKT1
AKT1.AKT2.AKT3.3392.68.2	"P31749	AKT1
AKT2.14685.17.3	P31751	AKT2
AKT2.5360.9.2	P31751	AKT2
ALCAM.5451.1.3	Q13740	ALCAM
ALDH3A1.11480.1.3	P30838	ALDH3A1
ALDH3B1.12940.35.3	P43353	ALDH3B1
ALDOA.5864.10.3	P04075	ALDOA
ALDOC.9876.20.3	P09972	ALDOC
ALKBH5.8793.13.3	Q6P6C2	ALKBH5
ALOX15B.12422.143.3	O15296	ALOX15B
ALPI.10463.23.3	P09923	ALPI
AMBN.6522.57.3	Q9NP70	AMBN
AMELX.8578.45.3	Q99217	AMELX
AMH.4923.79.1	P03971	AMH
AMICA1.5094.62.3	Q86YT9	AMICA1
AMICA1.8232.90.3	Q86YT9	AMICA1
AMIGO1.9979.13.3	Q86WK6	AMIGO1
AMN.4322.28.3	Q9BXJ7	AMN
AMY1A.7918.114.3	P04745	AMY1A
ANAPC10.12345.4.3	Q9UM13	ANAPC10
ANAPC7.11690.47.3	Q9UJX3	ANAPC7
ANGPT1.2811.27.1	Q15389	ANGPT1
ANGPT2.13660.76.3	O15123	ANGPT2
ANGPT2.2602.2.2	O15123	ANGPT2
ANGPT4.2500.2.3	Q9Y264	ANGPT4
ANGPTL1.11142.11.3	O95841	ANGPTL1
ANGPTL1.9092.33.3	O95841	ANGPTL1
ANGPTL3.3281.19.1	Q9Y5C1	ANGPTL3
ANGPTL4.3796.79.2	Q9BY76	ANGPTL4
ANGPTL7.6371.50.3	O43827	ANGPTL7
ANK2.7624.19.3	Q01484	ANK2
ANKRD27.12445.50.3	Q96NW4	ANKRD27
ANKRD46.7851.30.3	Q86W74	ANKRD46
ANP32A.13073.14.3	P39687	ANP32A
ANP32B.4194.26.3	Q92688	ANP32B
ANXA1.4960.72.1	P04083	ANXA1
ANXA10.13605.16.3	Q9UJ72	ANXA10
ANXA2.13700.10.3	P07355	ANXA2
ANXA2.4961.17.1	P07355	ANXA2
ANXA9.13588.11.3	O76027	ANXA9
AOC2.6434.18.3	O75106	AOC2
AP4M1.10076.1.3	O00189	AP4M1
APAF1.13583.19.3	O14727	APAF1
APBB1.12822.34.3	O00213	APBB1
APBB1.14206.28.3	O00213	APBB1
APBB2.12753.6.3	Q92870	APBB2
APBB2.12761.12.3	Q92870	APBB2
APBB3.13589.10.3	O95704	APBB3
APCDD1.6599.5.3	Q8J025	APCDD1
APCS.2474.54.5	P02743	APCS
APEX1.9849.13.3	P27695	APEX1
APLP2.10627.87.3	Q06481	APLP2
APLP2.7915.31.3	Q06481	APLP2
APMAP.10605.22.3	Q9HDC9	APMAP
APOA5.11318.20.3	Q6Q788	APOA5
APOA5.12908.15.3	Q6Q788	APOA5
APOB.2797.56.2	P04114	APOB
APOBEC3G.13930.3.3	Q9HC16	APOBEC3G
APOD.4712.28.2	P05090	APOD
APOD.8262.20.3	P05090	APOD
APOE.2937.10.2	P02649	APOE
APOE.5312.49.3	P02649	APOE
APOF.12370.30.3	Q13790	APOF
APOL1.11510.31.3	O14791	APOL1
APOL1.9506.10.3	O14791	APOL1
APOM.10445.20.3	O95445	APOM
APOM.14125.5.3	O95445	APOM
APOO.9373.405.3	Q9BUR5	APOO
APP.3171.57.2	P05067	APP
APPL1.12825.18.3	Q9UKG1	APPL1
AREG.2970.60.2	P15514	AREG
ARF3.12578.13.3	P61204	ARF3
ARF6.12425.104.3	P62330	ARF6
ARFGAP2.11664.32.3	Q8N6H7	ARFGAP2
ARFIP1.13488.3.3	P53367	ARFIP1
ARFIP2.12630.8.3	P53365	ARFIP2
ARHGAP1.11955.1.3	Q07960	ARHGAP1
ARHGAP25.11333.82.3	P42331	ARHGAP25
ARHGAP30.12807.89.3	Q7Z6I6	ARHGAP30
ARHGAP36.6289.78.3	Q6ZRI8	ARHGAP36
ARHGAP5.14748.31.3	Q13017	ARHGAP5
ARHGDIA.6454.38.3	P52565	ARHGDIA
ARHGDIB.9846.32.3	P52566	ARHGDIB
ARHGEF1.13976.9.3	Q92888	ARHGEF1
ARHGEF10.9061.3.3	O15013	ARHGEF10
ARHGEF2.12848.9.3	Q92974	ARHGEF2
ARHGEF25.13519.112.3	Q86VW2	ARHGEF25
ARHGEF7.13932.45.3	Q14155	ARHGEF7
ARID3A.3875.62.1	Q99856	ARID3A
ARL1.12392.30.3	P40616	ARL1
ARL11.12433.8.3	Q969Q4	ARL11
ARL3.12571.14.3	P36405	ARL3
ARMC5.8785.1.3	Q96C12	ARMC5
ARMC5.8816.44.3	Q96C12	ARMC5
ARMC5.9945.8.3	Q96C12	ARMC5
ARPC3.13573.5.3	O15145	ARPC3
ARPP19.4963.19.1	P56211	ARPP19
ARPP21.12860.7.3	Q9UBL0	ARPP21
ARRB1.12643.4.3	P49407	ARRB1
ARRDC3.12352.70.3	Q96B67	ARRDC3
ARSA.3583.54.4	P15289	ARSA
ARSB.3172.28.2	P15848	ARSB
ARSK.8269.327.3	Q6UWY0	ARSK
ART3.10970.3.3	Q13508	ART3
ART3.7970.315.3	Q13508	ART3
ART4.6576.1.3	Q93070	ART4
ARTN.2939.10.2	Q5T4W7	ARTN
ASAH1.5748.20.3	Q13510	ASAH1
ASAH2.3212.30.3	Q9NR71	ASAH2
ASAP2.13518.5.3	O43150	ASAP2
ASCC1.10647.18.3	Q8N9N2	ASCC1
ASGR1.5452.71.3	P07306	ASGR1
ASGR2.9474.22.3	P07307	ASGR2
ASH1L.12622.96.3	Q9NR48	ASH1L
ASH2L.12832.10.3	Q9UBL3	ASH2L
ASIC4.6951.26.3	Q96FT7	ASIC4
ASIP.5676.54.3	P42127	ASIP
ASL.11241.8.3	P04424	ASL
ASMTL.10089.7.3	O95671	ASMTL
ASNA1.13620.10.3	O43681	ASNA1
ASPH.6998.106.3	Q12797	ASPH
ASPN.6451.64.3	Q9BXN1	ASPN
ASPRV1.13023.8.3	Q53RT3	ASPRV1
ASTL.7993.23.3	Q6HA08	ASTL
ATAD1.6625.31.3	Q8NBU5	ATAD1
ATAD2.13043.157.3	Q6PL18	ATAD2
ATF6.11277.23.3	P18850	ATF6
ATG7.12627.97.3	O95352	ATG7
ATP1A1.11993.227.3	P05023	ATP1A1
ATP1B2.7218.87.3	P14415	ATP1B2
ATP2A3.13510.7.3	Q93084	ATP2A3
ATP4B.9994.217.3	P51164	ATP4B
ATP5B.4965.27.1	P06576	ATP5B
AURKA.3091.70.2	O14965	AURKA
AURKB.3346.72.2	Q96GD4	AURKB
AXIN2.12925.105.3	Q9Y2T1	AXIN2
AXIN2.8429.16.3	Q9Y2T1	AXIN2
AZGP1.9312.8.3	P25311	AZGP1
B3GALT6.7981.230.3	Q96L58	B3GALT6
B3GALTL.5727.35.3	Q6Y288	B3GALTL
B3GAT3.6897.38.3	O94766	B3GAT3
B3GNT1.8259.25.3	O43505	B3GNT1
B3GNT2.7980.72.3	Q9NY97	B3GNT2
B3GNT6.7082.2.3	Q6ZMB0	B3GNT6
B3GNT8.9297.12.3	Q7Z7M8	B3GNT8
B4GALT1.13381.49.3	P15291	B4GALT1
B4GALT2.9595.11.3	O60909	B4GALT2
B4GALT3.6921.24.3	O60512	B4GALT3
B4GALT5.10425.3.3	O43286	B4GALT5
B4GALT6.10832.24.3	Q9UBX8	B4GALT6
B4GALT7.7806.33.3	Q9UBV7	B4GALT7
BACH1.12451.62.3	O14867	BACH1
BACH2.12756.3.3	Q9BYV9	BACH2
BAD.5870.23.2	Q92934	BAD
BAG3.10078.5.3	O95817	BAG3
BAG4.12844.10.3	O95429	BAG4
BAGE2.6294.11.3	Q86Y30	BAGE2
BAGE3.6442.6.3	Q86Y29	BAGE3
BARD1.13977.28.3	Q99728	BARD1
BATF3.8858.21.3	Q9NR55	BATF3
BCAM.2816.50.2	P50895	BCAM
BCAN.3461.58.1	Q96GW7	BCAN
BCAP29.11570.94.3	Q9UHQ4	BCAP29
BCAR3.12634.79.3	O75815	BCAR3
BCL10.8768.4.3	O95999	BCL10
BCL2.3412.7.1	P10415	BCL2
BCL2A1.3413.50.2	Q16548	BCL2A1
BCL2L1.4423.77.2	Q07817	BCL2L1
BCL2L2.13097.11.3	Q92843	BCL2L2
BCL2L2.7134.14.3	Q92843	BCL2L2
BCL6.13640.5.3	P41182	BCL6
BDNF.2421.7.3	P23560	BDNF
BDP1.8929.7.3	A6H8Y1	BDP1
BECN1.13032.1.3	Q14457	BECN1
BET1L.10959.125.3	Q9NYM9	BET1L
BGLAP.11067.13.3	P02818	BGLAP
BGN.13690.26.3	P21810	BGN
BGN.3284.75.1	P21810	BGN
BID.5798.3.3	P55957	BID
BIN1.9574.11.3	O00499	BIN1
BIRC3.4973.18.1	Q13489	BIRC3
BIRC5.3472.40.2	O15392	BIRC5
BLVRA.11382.5.3	P53004	BLVRA
BMP10.3587.53.2	O95393	BMP10
BMP6.3736.60.3	P22004	BMP6
BMP6.8459.10.3	P22004	BMP6
BMP7.2972.57.2	P18075	BMP7
BMPER.3654.27.5	Q8N8U9	BMPER
BMPR1A.4859.6.1	P36894	BMPR1A
BMX.3414.40.2	P51813	BMX
BNIP3.7045.4.3	Q12983	BNIP3
BNIP3L.7835.2.3	O60238	BNIP3L
BOC.4328.2.2	Q9BWV1	BOC
BOLA2.8404.102.3	Q9H3K6	BOLA2
BPGM.12020.39.3	P07738	BPGM
BPI.4126.22.1	P17213	BPI
BPIFA1.6473.55.3	Q9NP55	BPIFA1
BPIFB1.11246.3.3	Q8TDL5	BPIFB1
BRD1.11607.15.3	O95696	BRD1
BRDT.12748.6.3	Q58F21	BRDT
BRF1.5384.67.3	Q92994	BRF1
BRICD5.6612.90.3	Q6PL45	BRICD5
BRPF1.11671.19.3	P55201	BRPF1
BRSK2.9790.28.3	Q8IWQ3	BRSK2
BSG.3585.54.6	P35613	BSG
BST1.4535.50.2	Q10588	BST1
BTK.3416.2.2	Q06187	BTK
BTNL9.7950.142.3	Q6UXG8	BTNL9
BUB1.12033.3.3	O43683	BUB1
C10orf35.8220.15.3	Q96D05	C10orf35
C10orf54.14123.34.3	Q9H7M9	C10orf54
C11orf68.8307.47.3	Q9H3H3	C11orf68
C12orf49.9387.13.3	Q9H741	C12orf49
C14orf93.6439.59.3	Q9H972	C14orf93
C16orf54.12394.53.3	Q6UWD8	C16orf54
C17orf67.9070.1.3	Q0P5P2	C17orf67
C17orf78.6571.75.3	Q8N4C9	C17orf78
C17orf78.8545.14.3	Q8N4C9	C17orf78
C17orf89.9030.56.3	A1L188	C17orf89
C18orf32.8236.8.3	Q8TCD1	C18orf32
C19orf18.9445.44.3	Q8NEA5	C19orf18
C19orf80.7183.102.3	Q6UXH0	C19orf80
C1D.7821.6.3	Q13901	C1D
C1GALT1C1.5735.54.3	Q96EU7	C1GALT1C1
C1orf115.8366.19.3	Q9H7X2	C1orf115
C1orf185.10667.78.3	Q5T7R7	C1orf185
C1orf198.8035.6.3	Q9H425	C1orf198
C1orf210.8088.56.3	Q8IVY1	C1orf210
C1orf226.7989.5.3	A1L170	C1orf226
C1QBP.4967.1.1	Q07021	C1QBP
C1QC.14100.63.3	P02747	C1QC
C1QL4.7132.55.3	Q86Z23	C1QL4
C1QTNF1.6304.8.3	Q9BXJ1	C1QTNF1
C1QTNF3.7251.64.3	Q9BXJ4	C1QTNF3
C1QTNF5.7810.20.3	Q9BXJ0	C1QTNF5
C1QTNF9.6019.12.3	P0C862	C1QTNF9
C1RL.9348.1.3	Q9NZP8	C1RL
C21orf33.5981.6.3	P30042	C21orf33
C22orf15.7073.69.4	Q8WYQ4	C22orf15
C2orf40.6362.6.3	Q9H1Z8	C2orf40
C2orf66.5677.15.3	Q6UXQ4	C2orf66
C2orf82.9439.454.3	Q6UX34	C2orf82
