SOMAMER_ID,UniProt,TargetFullName,Target
A1CF.12423.38.3,Q9NQ94,APOBEC1 complementation factor,A1CF
A4GALT.8759.29.3,Q9NPC4,Lactosylceramide 4-alpha-galactosyltransferase,"a1,4-Galactosyltransferase"
AARS.12340.17.3,P49588,"Alanine--tRNA ligase, cytoplasmic",SYAC
ABCC6.8935.22.3,O95255,Multidrug resistance-associated protein 6,MRP6
ABHD12.7825.7.3,Q8N2K0,Monoacylglycerol lipase ABHD12,ABD12
ABHD14A.5715.4.3,Q9BUJ0,Alpha/beta hydrolase domain-containing protein 14A,ABHEA
ABL1.3341.33.4,P00519,Tyrosine-protein kinase ABL1,ABL1
ABL2.5261.13.3,P42684,Abelson tyrosine-protein kinase 2,ABL2
ABLIM3.13578.98.3,O94929,Actin-binding LIM protein 3,ABLM3
ABO.9253.52.3,P16442,Histo-blood group ABO system transferase,BGAT
ACACB.12900.29.3,O00763,Acetyl-CoA carboxylase 2,ACACB
ACAN.3280.49.2,P16112,Aggrecan core protein,Aggrecan
ACAP2.12343.14.3,Q15057,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",CENB2
ACBD6.10075.75.3,Q9BR61,Acyl-CoA-binding domain-containing protein 6,ACBD6
ACBD7.13563.259.3,Q8N6N7,Acyl-CoA-binding domain-containing protein 7,ACBD7
ACE2.2805.6.2,Q9BYF1,Angiotensin-converting enzyme 2,ACE2
ACLY.12700.9.3,P53396,ATP-citrate synthase,ACLY
ACP1.3858.5.1,P24666,Low molecular weight phosphotyrosine protein phosphatase,PPAC
ACP2.9237.54.3,P11117,Lysosomal acid phosphatase,Lysosomal acid phosphatase
ACP5.3232.28.2,P13686,Tartrate-resistant acid phosphatase type 5,TrATPase
ACPL2.6079.59.3,Q8TE99,2-phosphoxylose phosphatase 1,ACPL2
ACVR1B.2806.49.2,P36896,Activin receptor type-1B,Activin RIB
ACVRL1.2969.11.1,P37023,Serine/threonine-protein kinase receptor R3,ALK-1
ACYP2.12812.25.3,P14621,Acylphosphatase-2,ACYP2
ADAM11.6586.19.3,O75078,Disintegrin and metalloproteinase domain-containing protein 11,ADA11
ADAM12.4420.7.2,O43184,Disintegrin and metalloproteinase domain-containing protein 12,ADAM12
ADAM19.8948.13.3,Q9H013,Disintegrin and metalloproteinase domain-containing protein 19,ADA19
ADAM23.7049.2.3,O75077,Disintegrin and metalloproteinase domain-containing protein 23,ADAM 23
ADAM29.13549.15.3,Q9UKF5,Disintegrin and metalloproteinase domain-containing protein 29,ADA29
