id	trait	prot_name	chromosome_name	transcription_start_site	file
SeqId_10000_28	P43320	CRYBB2	22	25212564	SeqId_10000_28
SeqId_10001_7	P04049	RAF1	3	12585905	SeqId_10001_7
SeqId_10008_43	P43080	GUCA1A	6	42155406	SeqId_10008_43
SeqId_10012_5	O95238	SPDEF	6	34556329	SeqId_10012_5
SeqId_10014_31	O43623	SNAI2	8	48921429	SeqId_10014_31
SeqId_10015_119	Q13303	KCNAB2	1	5990927	SeqId_10015_119
SeqId_10022_207	Q9Y253	POLH	6	43576185	SeqId_10022_207
SeqId_10023_32	P11473	VDR	12	47879115	SeqId_10023_32
SeqId_10024_44	Q86XE5	HOGA1	10	97584323	SeqId_10024_44
SeqId_10030_8	Q9UIF7	MUTYH	1	45331270	SeqId_10030_8
SeqId_10035_6	Q13115	DUSP4	8	29348805	SeqId_10035_6
SeqId_10036_201	Q9H4I2	ZHX3	20	41202396	SeqId_10036_201
SeqId_10037_98	Q96PQ1	SIGLEC12	19	51500373	SeqId_10037_98
SeqId_10040_63	Q9H3D4	TP63	3	189631389	SeqId_10040_63
SeqId_10041_3	P41235	HNF4A	20	44355700	SeqId_10041_3
SeqId_10042_8	Q96BR1	SGK3	8	66667552	SeqId_10042_8
SeqId_10043_31	O60885	BRD4	19	15246618	SeqId_10043_31
SeqId_10044_12	Q9GZT5	WNT10A	2	218880852	SeqId_10044_12
SeqId_10045_47	Q13618	CUL3	2	224480124	SeqId_10045_47
SeqId_10046_55	Q13490	BIRC2	11	102347211	SeqId_10046_55
SeqId_10047_12	P19878	NCF2	1	183564051	SeqId_10047_12
SeqId_10048_7	Q13951	CBFB	16	67028984	SeqId_10048_7
SeqId_10049_112	P54274	TERF1	8	73008864	SeqId_10049_112
SeqId_10053_5	Q13418	ILK	11	6603708	SeqId_10053_5
SeqId_10054_3	Q9H2C0	GAN	16	81314966	SeqId_10054_3
SeqId_10056_5	Q08050	FOXM1	12	2864710	SeqId_10056_5
SeqId_10058_1	P54725	RAD23A	19	12945855	SeqId_10058_1
SeqId_10063_10	Q9NW38	FANCL	2	58165803	SeqId_10063_10
SeqId_10064_12	O75884	RBBP9	20	18497174	SeqId_10064_12
SeqId_10070_22	P16885	PLCG2	16	81739097	SeqId_10070_22
SeqId_10073_22	Q9NUW8	TDP1	14	89954939	SeqId_10073_22
SeqId_10074_128	P25440	BRD2	6	32968594	SeqId_10074_128
SeqId_10075_75	Q9BR61	ACBD6	1	180274681	SeqId_10075_75
SeqId_10076_1	O00189	AP4M1	7	100101549	SeqId_10076_1
SeqId_10078_5	O95817	BAG3	10	119651370	SeqId_10078_5
SeqId_10080_9	Q14232	EIF2B1	12	123632447	SeqId_10080_9
SeqId_10081_17	Q9UPW6	SATB2	2	199329035	SeqId_10081_17
SeqId_10082_251	P07196	NEFL	8	24956515	SeqId_10082_251
